# Listed companies matched to week 4 clients and filing firms by exact normalized name; SIC from the SEC submissions API, NAICS sector by week04_sec.sector_of_sic().
key,cik,ticker,sec_name,sic,sic_description,naics2,filings
FEIN 464254555,0001601046,KEYS,"Keysight Technologies, Inc.",3823,"Industrial Instruments For Measurement, Display, and Control",31-33,519
FEIN 680551851,0001321655,PLTR,Palantir Technologies Inc.,7372,Services-Prepackaged Software,51,518
FEIN 230332575,0001385157,TEL,TE Connectivity plc,5065,"Wholesale-Electronic Parts & Equipment, NEC",42,514
Lumen,0000018926,LUMN,"Lumen Technologies, Inc.",4813,Telephone Communications (No Radiotelephone),51,508
FEIN 310387920,0000070866,VYX,NCR Voyix Corp,3578,Calculating & Accounting Machines (No Electronic Computers),31-33,507
FEIN 270805829,0001477333,NET,"Cloudflare, Inc.",7372,Services-Prepackaged Software,51,504
FEIN 260138832,0001467623,DBX,"DROPBOX, INC.",7372,Services-Prepackaged Software,51,503
Halliburton,0000045012,HAL,HALLIBURTON CO,1389,"Oil & Gas Field Services, NEC",21,494
FEIN 042302115,0000004127,SWKS,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices,31-33,494
Procter & Gamble,0000080424,PG,PROCTER & GAMBLE Co,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",31-33,491
FEIN 362675536,0000877212,ZBRA,ZEBRA TECHNOLOGIES CORP,3560,General Industrial Machinery & Equipment,31-33,487
Williams-Sonoma,0000719955,WSM,WILLIAMS SONOMA INC,5700,"Retail-Home Furniture, Furnishings & Equipment Stores",44-45,485
FEIN 814387104,0001828108,AUR,"Aurora Innovation, Inc.",7373,Services-Computer Integrated Systems Design,54,473
BP,0000313807,BP,BP PLC,2911,Petroleum Refining,31-33,467
FEIN 060548860,0000093556,SWK,"STANLEY BLACK & DECKER, INC.",3420,"Cutlery, Handtools & General Hardware",31-33,466
FEIN 464560494,0001943896,RBRK,"Rubrik, Inc.",7372,Services-Prepackaged Software,51,459
CSX,0000277948,CSX,CSX CORP,4011,"Railroads, Line-Haul Operating",48-49,458
FEIN 460925388,0001795586,CHYM,"Chime Financial, Inc.",6199,Finance Services,52,456
Leidos,0001336920,LDOS,"Leidos Holdings, Inc.",7373,Services-Computer Integrated Systems Design,54,452
Tractor Supply,0000916365,TSCO,TRACTOR SUPPLY CO /DE/,5200,"Retail-Building Materials, Hardware, Garden Supply",44-45,451
FEIN 263122131,0001709048,GFS,GLOBALFOUNDRIES Inc.,3674,Semiconductors & Related Devices,31-33,450
FEIN 431339487,0001062579,DOX,AMDOCS LTD,7371,Services-Computer Programming Services,54,448
Disney,0001744489,DIS,Walt Disney Co,7990,Services-Miscellaneous Amusement & Recreation,71,439
FEIN 860741227,0001069183,AXON,"AXON ENTERPRISE, INC.",3480,"Ordnance & Accessories, (No Vehicles/Guided Missiles)",31-33,434
FEIN 364468504,0001528396,GWRE,"Guidewire Software, Inc.",7372,Services-Prepackaged Software,51,434
FEIN 910351110,0000075362,PCAR,PACCAR INC,3711,Motor Vehicles & Passenger Car Bodies,31-33,429
FEIN 263999357,0001577526,AI,"C3.ai, Inc.",7372,Services-Prepackaged Software,51,420
Whirlpool,0000106640,WHR,WHIRLPOOL CORP /DE/,3630,Household Appliances,31-33,418
Coca-Cola,0000021344,KO,COCA COLA CO,2080,Beverages,31-33,416
Baxter,0000010456,BAX,BAXTER INTERNATIONAL INC,3841,Surgical & Medical Instruments & Apparatus,31-33,408
NRG Energy,0001013871,NRG,"NRG ENERGY, INC.",4911,Electric Services,22,406
FEIN 753060494,0001397187,LULU,lululemon athletica inc.,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,31-33,405
FEIN 202714444,0001372612,BOX,BOX INC,7372,Services-Prepackaged Software,51,404
Starbucks,0000829224,SBUX,STARBUCKS CORP,5810,Retail-Eating & Drinking Places,72,402
Duke Energy,0001326160,DUK,Duke Energy CORP,4931,Electric & Other Services Combined,22,401
FEIN 134038723,0001408198,MSCI,MSCI Inc.,7389,"Services-Business Services, NEC",56,400
FEIN 621611055,0000866787,AZO,AUTOZONE INC,5531,Retail-Auto & Home Supply Stores,44-45,397
FEIN 363100018,0001091587,ABLZF,ABB LTD,3613,Switchgear & Switchboard Apparatus,31-33,394
Levi Strauss,0000094845,LEVI,LEVI STRAUSS & CO,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,31-33,391
FEIN 061169696,0001402436,SSNC,SS&C Technologies Holdings Inc,7372,Services-Prepackaged Software,51,390
GSK,0001131399,GSK,GSK plc,2834,Pharmaceutical Preparations,31-33,374
FEIN 942867490,0000900075,CPRT,COPART INC,5500,Retail-Auto Dealers & Gasoline Stations,44-45,372
